Driver,AvgPosition
VER,3.764044943820225
PIA,4.979591836734694
NOR,5.955056179775281
HAM,6.292134831460674
LEC,6.359550561797753
PER,7.426229508196721
RUS,7.556818181818182
SAI,8.079545454545455
ANT,9.833333333333334
ALO,10.539325842696629
RIC,11.258620689655173
DEV,11.5
BEA,11.555555555555555
VET,11.63888888888889
OCO,11.655172413793103
BOT,11.765625
HAD,11.791666666666666
GAS,12.267441860465116
HUL,12.352941176470589
STR,12.74712643678161
LAW,12.933333333333334
RAI,13.0
ALB,13.075757575757576
GIO,13.095238095238095
TSU,13.209302325581396
MAG,13.560975609756097
BOR,14.25
KUB,14.5
ZHO,15.214285714285714
COL,15.222222222222221
MSC,15.615384615384615
LAT,15.717948717948717
DOO,16.142857142857142
SAR,16.8
MAZ,17.761904761904763
